,Seccion,Categoria,Descripcion,Precio/Kg,Precio,PrecioPrevio,Ofertas,Promociones,Enlace
0,Embarazo y Lactancia,Pacharán,"
Pacharán Zoco 1 l.","10,25 €/l","10,25 €",,,,https://www.carrefour.es/supermercado/pacharan-zoco-1-l-zoco/R-520663080/p
1,Embarazo y Lactancia,Pacharán,"
Pacharán Anduí 1 l.","7,25 €/l","7,25 €",,,,https://www.carrefour.es/supermercado/pacharan-andui-1-l-carrefour/R-prod620186/p
2,Embarazo y Lactancia,Pacharán,"
Pacharán Berezko 1 l.","11,40 €/l",,"
15,25 €","
11,40 €",,https://www.carrefour.es/supermercado/pacharan-berezko-1-l-berezko/R-prod810579/p
3,Embarazo y Lactancia,Pacharán,"
Pacharán Urtebi 1 l.","7,25 €/l","7,25 €",,,,https://www.carrefour.es/supermercado/pacharan-urtebi-1-l-carrefour/R-520663078/p
4,Embarazo y Lactancia,Pacharán,"
Pacharán Baines 1 l.","16,40 €/l","16,40 €",,,,https://www.carrefour.es/supermercado/pacharan-baines-1-l-baines/R-538001602/p
5,Embarazo y Lactancia,Pacharán,"
Pacharán Etxeko  1 l.","14,30 €/l","14,30 €",,,,https://www.carrefour.es/supermercado/pacharan-etxeko-1-l-la-navarra/R-543601954/p
6,Embarazo y Lactancia,Pacharán,"
Pacharán De Nuestra Tierra 70 cl.","15,79 €/l","11,05 €",,,,https://www.carrefour.es/supermercado/pacharan-de-nuestra-tierra-70-cl-de-nuestra-tierra/R-prod710159/p
7,Embarazo y Lactancia,Pacharán,"
Pacharán La Navarra 1 l.","10,56 €/l","10,56 €",,,,https://www.carrefour.es/supermercado/pacharan-la-navarra-1-l-la-navarra/R-538001542/p
8,Embarazo y Lactancia,Todos los Licores y Cremas,"
Crema de orujo Puntemiño 70 cl.","8,13 €/l",,"
5,80 €","
5,69 €",3x2,https://www.carrefour.es/supermercado/crema-de-orujo-puntemino-70-cl-carrefour/R-prod620187/p
9,Embarazo y Lactancia,Todos los Licores y Cremas,"
Crema irlandesa Baileys 1 l.","16,61 €/l","16,61 €",,,5€ dto.,https://www.carrefour.es/supermercado/crema-irlandesa-baileys-1-l-baileys/R-520663114/p
10,Embarazo y Lactancia,Todos los Licores y Cremas,"
Crema irlandesa Baileys 70 cl.","17,07 €/l","11,95 €",,,,https://www.carrefour.es/supermercado/crema-irlandesa-baileys-70-cl-baileys/R-520663106/p
11,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor de hierbas Ruavieja 1 l.","12,30 €/l","12,30 €",,,,https://www.carrefour.es/supermercado/licor-de-hierbas-ruavieja-1-l-ruavieja/R-556601508/p
12,Embarazo y Lactancia,Todos los Licores y Cremas,"
Pack Ruavieja Licor de hierbas 70 cl + 2 vasos","12,71 €/l","8,90 €",,,,https://www.carrefour.es/supermercado/pack-ruavieja-licor-de-hierbas-70-cl-2-vasos-ruavieja/R-520663041/p
13,Embarazo y Lactancia,Todos los Licores y Cremas,"
Crema de orujo Ruavieja 1 l.","15,50 €/l","15,50 €",,,,https://www.carrefour.es/supermercado/crema-de-orujo-ruavieja-1-l-ruavieja/R-prod520323/p
14,Embarazo y Lactancia,Todos los Licores y Cremas,"
Crema de whisky O'Galwan 70 cl.","7,14 €/l","5,00 €",,,,https://www.carrefour.es/supermercado/crema-de-whisky-o-galwan-70-cl-carrefour/R-520663098/p
15,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor de hierbas Puntemiño 70 cl.","8,13 €/l","5,69 €",,,,https://www.carrefour.es/supermercado/licor-de-hierbas-puntemino-70-cl-carrefour/R-prod620197/p
16,Embarazo y Lactancia,Todos los Licores y Cremas,"
Anís del Mono edición especial 1 l.","10,05 €/l","10,05 €",,,,https://www.carrefour.es/supermercado/anis-del-mono-edicion-especial-1-l-mono/R-520663031/p
17,Embarazo y Lactancia,Todos los Licores y Cremas,"
Anisado Anís del Mono dulce 70 cl.","11,21 €/l","7,85 €",,,,https://www.carrefour.es/supermercado/anisado-anis-del-mono-dulce-70-cl-mono/R-541301654/p
18,Embarazo y Lactancia,Todos los Licores y Cremas,"
Crema de orujo Ruavieja 70 cl.","17,00 €/l","11,90 €",,,,https://www.carrefour.es/supermercado/crema-de-orujo-ruavieja-70-cl-ruavieja/R-521015515/p
19,Embarazo y Lactancia,Todos los Licores y Cremas,"
Anís La Castellana dulce 70 cl.","10,93 €/l","7,65 €",,,,https://www.carrefour.es/supermercado/anis-la-castellana-dulce-70-cl-castellana/R-798962881/p
20,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor 43 horchata 70 cl.","19,57 €/l","13,70 €",,,,https://www.carrefour.es/supermercado/licor-43-horchata-70-cl-licor-43/R-858300416/p
21,Embarazo y Lactancia,Todos los Licores y Cremas,"
Anís Altorreal dulce 70 cl.","5,89 €/l","4,12 €",,,,https://www.carrefour.es/supermercado/anis-altorreal-dulce-70-cl-carrefour/R-prod620196/p
22,Embarazo y Lactancia,Todos los Licores y Cremas,"
Pacharán Zoco 1 l.","10,25 €/l","10,25 €",,,,https://www.carrefour.es/supermercado/pacharan-zoco-1-l-zoco/R-520663080/p
23,Embarazo y Lactancia,Todos los Licores y Cremas,"
Anisete Marie Brizard 1 l.","8,75 €/l","8,75 €",,,,https://www.carrefour.es/supermercado/anisete-marie-brizard-1-l-marie-brizard/R-520663029/p
24,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor de café Puntemiño 70 cl.","8,13 €/l","5,69 €",,,,https://www.carrefour.es/supermercado/licor-de-cafe-puntemino-70-cl-carrefour/R-prod620188/p
25,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor amaretto Disaronno 70 cl.","22,64 €/l","15,85 €",,,,https://www.carrefour.es/supermercado/licor-amaretto-disaronno-70-cl-amaretto/R-521028352/p
26,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor aperitivo Aperol 70 cl.","15,86 €/l","11,10 €",,,,https://www.carrefour.es/supermercado/licor-aperitivo-aperol-70-cl-aperol/R-VC4AECOMM-432352/p
27,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor limoncello Villa Massa 70 cl.","18,71 €/l","13,10 €",,,,https://www.carrefour.es/supermercado/licor-limoncello-villa-massa-70-cl-villa-massa/R-546102532/p
28,Embarazo y Lactancia,Todos los Licores y Cremas,"
Orujo blanco Puntemiño 70 cl.","9,36 €/l","6,55 €",,,,https://www.carrefour.es/supermercado/orujo-blanco-puntemino-70-cl-carrefour/R-prod620194/p
29,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor limoncello del Mediterráneo 70 cl.","12,43 €/l","8,70 €",,,,https://www.carrefour.es/supermercado/licor-limoncello-del-mediterraneo-70-cl-mediterraneo/R-520663064/p
30,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor 43 70 cl.","19,14 €/l","13,40 €",,,,https://www.carrefour.es/supermercado/licor-43-70-cl-licor-43/R-520663090/p
31,Embarazo y Lactancia,Todos los Licores y Cremas,"
Licor limoncello Carrefour 50 cl.","8,30 €/l","4,15 €",,,,https://www.carrefour.es/supermercado/licor-limoncello-carrefour-50-cl-carrefour/R-654802085/p
32,Embarazo y Lactancia,Bio en Licores y Cremas,"
Sidra ecológica Maeloc achampanada extra botella 75 cl.","1,99 €/ud","1,99 €",,,,https://www.carrefour.es/supermercado/sidra-ecologica-maeloc-achampanada-extra-botella-75-cl-maeloc/R-751102609/p?prtId=cat20026
33,Embarazo y Lactancia,Bio en Licores y Cremas,"
Sidra Ecológica Menendez natural 70 cl.","2,60 €/ud","2,60 €",,,,https://www.carrefour.es/supermercado/sidra-ecologica-menendez-natural-70-cl-menendez/R-prod780683/p?prtId=cat20026
34,Embarazo y Lactancia,Bio en Licores y Cremas,"
Sidra ecológica Maeloc achampanada dulce botella 75 cl.","2,00 €/ud","2,00 €",,,,https://www.carrefour.es/supermercado/sidra-ecologica-maeloc-achampanada-dulce-botella-75-cl-maeloc/R-763502536/p?prtId=cat20026
35,Embarazo y Lactancia,Bio en Licores y Cremas,"
Sidra Bereziartua 75 cl.","3,35 €/ud","3,35 €",,,,https://www.carrefour.es/supermercado/sidra-bereziartua-75-cl-bereziartua/R-prod750112/p?prtId=cat20026
36,Sidra,Ofertas y promociones,"
Agua mineral Bezoya natural 1,5 l.","0,40 €/l",,"
0,61 €","
0,60 €","12 x 0,50€/ud.",https://www.carrefour.es/supermercado/agua-mineral-bezoya-natural-1-5-l-bezoya/R-520661058/p?prtId=cat20048
37,Sidra,Ofertas y promociones,"
Bolsitas Yogolino Manzana y Fresa a partir de 8 meses 90gr","11,11 €/kg","1,00 €",,,3x2,https://www.carrefour.es/supermercado/bolsitas-yogolino-manzana-y-fresa-a-partir-de-8-meses-90gr-yogolino/R-794681605/p?prtId=cat20048
38,Sidra,Ofertas y promociones,"
Bolsitas yogolino Platano 90 gr","11,11 €/kg","1,00 €",,,3x2,https://www.carrefour.es/supermercado/bolsitas-yogolino-platano-90-gr-yogolino/R-794747543/p?prtId=cat20048
39,Sidra,Ofertas y promociones,"
Bolsitas Yogolino Plátano y Fresa 90 gr","11,11 €/kg","1,00 €",,,3x2,https://www.carrefour.es/supermercado/bolsitas-yogolino-platano-y-fresa-90-gr-yogolino/R-805726763/p?prtId=cat20048
