categoria,descripcion,enlace,precio,precioOferta,precioPrevio,precio_Kg_L_ud,promocion,seccion
Bio,"
Queso parmesano reggiano Carrefour Bio 150 g",https://www.carrefour.es/supermercado/queso-parmesano-reggiano-carrefour-bio-150-g-carrefour/R-fprod1260001/p?prtId=cat20020,"5,95 €",,,"39,67 €/kg",,Quesos
Bio,"
Queso blanco pasteurizado ecológico Carrefour Bio 230 g.",https://www.carrefour.es/supermercado/queso-blanco-pasteurizado-ecologico-carrefour-bio-230-g-carrefour/R-VC4AECOMM-438048/p?prtId=cat20020,"2,10 €",,,"9,13 €/kg",,Quesos
Bio,"
Queso en porciones ecológico La Vaca que ríe 128 g.",https://www.carrefour.es/supermercado/queso-en-porciones-ecologico-la-vaca-que-rie-128-g-la-vaca-que-rie/R-fprod1450104/p?prtId=cat20020,"1,80 €",,,"14,06 €/kg",,Quesos
Bio,"
Queso de cabra tierno ecológico Arte y Sabor 300 g",https://www.carrefour.es/supermercado/queso-de-cabra-tierno-ecologico-arte-y-sabor-300-g/R-VC4AECOMM-454304/p?prtId=cat20020,"5,50 €",,,"18,33 €/kg",,Quesos
Bio,"
Queso manchego paraje de Sotuélamos ecológico cuña de 170 g",https://www.carrefour.es/supermercado/queso-manchego-paraje-de-sotuelamos-ecologico-cuna-de-170-g/R-VC4AECOMM-515140/p?prtId=cat20020,"3,90 €",,,"22,94 €/kg",,Quesos
Bio,"
Queso rulo de cabra madurado con moho ecológico 180 g",https://www.carrefour.es/supermercado/queso-rulo-de-cabra-madurado-con-moho-ecologico-180-g/R-prod70939/p?prtId=cat20020,"2,60 €",,,"14,44 €/kg",,Quesos
Bio,"
Queso de untar natural ecológico Arla 200 g.",https://www.carrefour.es/supermercado/queso-de-untar-natural-ecologico-arla-200-g-arla/R-fprod1480166/p?prtId=cat20020,"2,30 €",,,"11,50 €/kg",5€ dto.,Quesos
Bio,"
Queso fresco ecológico Burgo de Arias pack de 3 unidades de 70 g.",https://www.carrefour.es/supermercado/queso-fresco-ecologico-burgo-de-arias-pack-de-3-unidades-de-70-g-burgo-de-arias/R-fprod1190738/p?prtId=cat20020,,"
2,65 €","
2,90 €","12,62 €/kg",2x1 Acumulación,Quesos
Bio,"
Queso de cabra ecológico Juan Luna Abrilisto cuña 1/8 250 g",https://www.carrefour.es/supermercado/queso-de-cabra-ecologico-juan-luna-abrilisto-cuna-1-8-250-g/R-prod810273/p?prtId=cat20020,"5,47 €",,,"21,90 €/kg",,Quesos
Bio,"
Carne de Membrillo ecológica Santa Teresa 200 g ",https://www.carrefour.es/supermercado/carne-de-membrillo-ecologica-santa-teresa-200-g/R-fprod1230048/p?prtId=cat20020,"2,59 €",,,"12,95 €/kg",,Quesos
Bio,"
Queso fresco feta ecológico Taverna 150 g.",https://www.carrefour.es/supermercado/queso-fresco-feta-ecologico-taverna-150-g-taverna/R-prod61169/p?prtId=cat20020,"3,10 €",,,"20,67 €/kg",,Quesos
Bio,"
Queso feta ecológico D.O.P Hotos 200 g",https://www.carrefour.es/supermercado/queso-feta-ecologico-d-o-p-hotos-200-g/R-fprod1330074/p?prtId=cat20020,"3,95 €",,,"19,75 €/kg",,Quesos
Bio en Dulce y Desayuno,"
Cereales sin azúcares añadidos ecológicos Corn Flakes Carrefour Bio 500 g.",https://www.carrefour.es/supermercado/cereales-sin-azucares-anadidos-ecologicos-corn-flakes-carrefour-bio-500-g-carrefour-bio/R-634201798/p?prtId=cat20010,"2,29 €",,,"4,58 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Copos de avena integral ecológico Carrefour Bio 500 g.",https://www.carrefour.es/supermercado/copos-de-avena-integral-ecologico-carrefour-bio-500-g-carrefour-bio/R-fprod1320260/p?prtId=cat20010,"1,29 €",,,"2,58 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Galletas con tableta de chocolate con leche ecológicas Carrefour Bio 150 g.",https://www.carrefour.es/supermercado/galletas-con-tableta-de-chocolate-con-leche-ecologicas-carrefour-bio-150-g-carrefour-bio/R-858200354/p?prtId=cat20010,"2,00 €",,,"13,33 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Chocolate negro 74% ecológico Carrefour Bio 100 g.",https://www.carrefour.es/supermercado/chocolate-negro-74-ecologico-carrefour-bio-100-g-carrefour-bio/R-825914902/p?prtId=cat20010,"1,42 €",,,"14,20 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Café molido natural 100% Arábica ecológico Carrefour Bio 250 g.",https://www.carrefour.es/supermercado/cafe-molido-natural-100-arabica-ecologico-carrefour-bio-250-g-carrefour-bio/R-VC4AECOMM-492904/p?prtId=cat20010,"1,99 €",,,"7,96 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Café molido natural Colombia ecológico Carrefour Bio 250 g.",https://www.carrefour.es/supermercado/cafe-molido-natural-colombia-ecologico-carrefour-bio-250-g-carrefour-bio/R-544101768/p?prtId=cat20010,"2,85 €",,,"11,40 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Miel de flores ecológica Carrefour Bio 500 g.",https://www.carrefour.es/supermercado/miel-de-flores-ecologica-carrefour-bio-500-g-carrefour-bio/R-VC4AECOMM-420438/p?prtId=cat20010,"3,90 €",,,"7,80 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Sirope de agave ecológico Carrefour Bio 250 ml.",https://www.carrefour.es/supermercado/sirope-de-agave-ecologico-carrefour-bio-250-ml-carrefour-bio/R-prod271162/p?prtId=cat20010,"2,45 €",,,"9,80 €/l",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Mermelada de fresa ecológica Carrefour Bio 350 g.",https://www.carrefour.es/supermercado/mermelada-de-fresa-ecologica-carrefour-bio-350-g-carrefour-bio/R-fprod1270194/p?prtId=cat20010,"1,99 €",,,"5,69 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Galletas de mantequilla ecológicas Carrefour Bio 167 g.",https://www.carrefour.es/supermercado/galletas-de-mantequilla-ecologicas-carrefour-bio-167-g-carrefour-bio/R-858200344/p?prtId=cat20010,"1,63 €",,,"9,76 €/kg",,Dulce y Desayuno
Congelados en Charcutería y Quesos al Corte,"
Jamón cocido extra sin fosfatos Bonnatur Argal al corte 150 g aprox",https://www.carrefour.es/supermercado/jamon-cocido-extra-sin-fosfatos-bonnatur-argal-al-corte-150-g-aprox/R-536500299/p,,"
1,49 €","
1,79 €","9,95 €/kg",,Cestas y Lotes
Bio en Dulce y Desayuno,"
Té verde en bolsitas ecológico Carrefour Bio 20 ud.",https://www.carrefour.es/supermercado/te-verde-en-bolsitas-ecologico-carrefour-bio-20-ud-carrefour-bio/R-521003183/p?prtId=cat20010,"1,66 €",,,"59,29 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Chocolate negro con naranja ecológico Carrefour Bio 100 g.",https://www.carrefour.es/supermercado/chocolate-negro-con-naranja-ecologico-carrefour-bio-100-g-carrefour-bio/R-825914896/p?prtId=cat20010,"1,42 €",,,"14,20 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Galletas rellenas de chocolate ecológicas Carrefour Bio 185 g.",https://www.carrefour.es/supermercado/galletas-rellenas-de-chocolate-ecologicas-carrefour-bio-185-g-carrefour-bio/R-858200360/p?prtId=cat20010,"2,05 €",,,"11,08 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Manzanilla en bolsitas ecológica Carrefour Bio 20 ud.",https://www.carrefour.es/supermercado/manzanilla-en-bolsitas-ecologica-carrefour-bio-20-ud-carrefour-bio/R-521003138/p?prtId=cat20010,"1,87 €",,,"66,79 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Chocolate con leche ecológico Carrefour Bio 100 g.",https://www.carrefour.es/supermercado/chocolate-con-leche-ecologico-carrefour-bio-100-g-carrefour-bio/R-825914900/p?prtId=cat20010,"1,42 €",,,"14,20 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Chocolate negro con almendras caramelizadas ecológico Carrefour Bio 100 g.",https://www.carrefour.es/supermercado/chocolate-negro-con-almendras-caramelizadas-ecologico-carrefour-bio-100-g-carrefour-bio/R-825914894/p?prtId=cat20010,"1,42 €",,,"14,20 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Cereales de quinoa con chocolate ecológicos Muesli Carrefour Bio 500 g.",https://www.carrefour.es/supermercado/cereales-de-quinoa-con-chocolate-ecologicos-muesli-carrefour-bio-500-g-carrefour-bio/R-630602256/p?prtId=cat20010,"4,10 €",,,"8,20 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Cereales de frutas y frutos secos ecológicos Muesli Carrefour Bio 500 g.",https://www.carrefour.es/supermercado/cereales-de-frutas-y-frutos-secos-ecologicos-muesli-carrefour-bio-500-g-carrefour-bio/R-630602254/p?prtId=cat20010,"3,29 €",,,"6,58 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Mermelada de melocotón ecológica Carrefour Bio 350 g.",https://www.carrefour.es/supermercado/mermelada-de-melocoton-ecologica-carrefour-bio-350-g-carrefour-bio/R-fprod1270195/p?prtId=cat20010,"1,90 €",,,"5,43 €/kg",,Dulce y Desayuno
