,Seccion,Categoria,Descripcion,Precio/Kg,Precio,PrecioPrevio,Ofertas,Promociones,Enlace
0,Cuidado y Protección Corporal,"
Pies","
Gel piernas cansadas Carrefour 125 ml.","1,54 €/100 ml","1,93 €",,,,https://www.carrefour.es/supermercado/gel-piernas-cansadas-carrefour-125-ml-carrefour/R-798285190/p
1,Cuidado y Protección Corporal,"
Pies","
Desodorante pies Babaria 150 ml.","1,47 €/100 ml","2,20 €",,,,https://www.carrefour.es/supermercado/desodorante-pies-babaria-150-ml-babaria/R-693401727/p
2,Cuidado y Protección Corporal,"
Pies","
Crema pies secos y agrietados Babaria 100 ml.","1,92 €/100 ml","1,92 €",,,,https://www.carrefour.es/supermercado/crema-pies-secos-y-agrietados-babaria-100-ml-babaria/R-656301979/p
3,Cuidado y Protección Corporal,"
Pies","
Desodorante refrescante para pies Byly 200 ml.","1,90 €/100 ml","3,80 €",,,,https://www.carrefour.es/supermercado/desodorante-refrescante-para-pies-byly-200-ml-byly/R-521001058/p
4,Cuidado y Protección Corporal,"
Pies","
Crema hidratante de pies Carrefour 125 ml.","1,24 €/100 ml","1,55 €",,,,https://www.carrefour.es/supermercado/crema-hidratante-de-pies-carrefour-125-ml-carrefour/R-616101750/p
5,Cuidado y Protección Corporal,"
Pies","
Crema de talones agrietados Carrefour 125 ml.","1,36 €/100 ml","1,70 €",,,,https://www.carrefour.es/supermercado/crema-de-talones-agrietados-carrefour-125-ml-carrefour/R-616101748/p
6,Cuidado y Protección Corporal,"
Pies","
Crema hidratante pies aloe vera Babaria 100 ml.","1,92 €/100 ml","1,92 €",,,,https://www.carrefour.es/supermercado/crema-hidratante-pies-aloe-vera-babaria-100-ml-babaria/R-664502240/p
7,Cuidado y Protección Corporal,"
Pies","
Desodorante talco para pies Instituto Español 250 g.","1,52 €/100 g","3,80 €",,,,https://www.carrefour.es/supermercado/desodorante-talco-para-pies-instituto-espanol-250-g-instituto-espanol/R-521001062/p
8,Cuidado y Protección Corporal,"
Pies","
Mascarilla exfoliante para pies Loua 1 ud.","3,10 €/ud","3,10 €",,,,https://www.carrefour.es/supermercado/mascarilla-exfoliante-para-pies-loua-1-ud-loua/R-prod970193/p
9,Cuidado y Protección Corporal,"
Pies","
Gel frío pies y piernas cansadas Aloe Babaria 100 ml.","1,92 €/100 ml","1,92 €",,,,https://www.carrefour.es/supermercado/gel-frio-pies-y-piernas-cansadas-aloe-babaria-100-ml-babaria/R-656301973/p
10,Cuidado y Protección Corporal,"
Pies","
Desodorante en spray para calzado fresh step Scholl 150 ml.","3,83 €/100 ml","5,75 €",,,,https://www.carrefour.es/supermercado/desodorante-en-spray-para-calzado-fresh-step-scholl-150-ml-scholl/R-521001052/p
