,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
54,"
Bebida de arroz ecológica Costa Eco con cacao brik 1 l.","
 1 L. |
2,65 €/l","2,65 €",,,
55,"
Bebida de avena sin azúcares añadidos ecológica YoSoy brik 1 l.","
 1 L. |
1,68 €/l","1,68 €",,,
56,"
Leche entera ecológica Puleva brik 1 l.","
 1 L. |
1,00 €/l",,"
1,29 €","
1,00 €",
57,,,,,,
58,"
Café latte cappuccino Carrefour sin gluten 250 g.","
 250 G. |
2,72 €/l",,"
0,75 €","
0,68 €",
59,"
Café latte macchiatto Carrefour sin gluten 250 g.","
 250 G. |
2,72 €/l",,"
0,75 €","
0,68 €",
60,"
Café latte Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,32 €/l","1,20 €",,,
61,"
Café latte cappuccino Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,32 €/l","1,20 €",,,
62,"
Café latte Carrefour intenso sin gluten 250 g.","
 250 G. |
2,72 €/kg",,"
0,75 €","
0,68 €",
63,"
Batido de cacao shake sin azúcar añadido Cola Cao sin gluten 200 ml.","
 200 Ml. |
5,55 €/l","1,11 €",,,
64,"
Café latte macchiatto Carrefour light sin gluten 250 ml.","
 250 Ml. |
3,00 €/l","0,75 €",,,
65,"
Café latte espresso Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,32 €/l","1,20 €",,,
66,"
Batido de cacao shake Nestlé - Nesquik 180 g.","
 180 G. |
6,67 €/l","1,20 €",,,
67,"
Café latte con caramelo Carrefour sin gluten 250 ml.","
 250 Ml. |
3,20 €/l","0,80 €",,,
68,"
Café latte de caramelo Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,63 €/l","1,26 €",,,
69,"
Café con leche Puleva 1 l.","
 1 L. |
1,39 €/l","1,39 €",,,
70,"
Café latte cappuccino Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
71,"
Café latte light Kaiku sin lactosa 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
72,"
Café latte de caramelo Starbucks 220 ml.","
 220 Ml. |
7,91 €/l","1,74 €",,,
73,"
Batido de cacao Cola Cao sin gluten 200 ml. ","
 200 Ml. |
5,55 €/l","1,11 €",,,
74,"
Café latte Starbucks 220 ml.","
 220 Ml. |
7,91 €/l","1,74 €",,,
75,"
Café cappuccino Starbucks 220 ml.","
 220 Ml. |
7,91 €/l","1,74 €",,,
76,"
Café descafeinado Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,89 €/l","1,31 €",,,
77,"
Café latte descafeinado Carrefour sin gluten 250 ml.","
 250 Ml. |
3,00 €/l","0,75 €",,,
78,"
Café espresso sabor vainilla Monster 250 ml.","
 250 Ml. |
6,12 €/l","1,53 €",,,
79,"
Batido de nocilla Pascual vaso 200 ml.","
 200 Ml. |
5,90 €/l","1,18 €",,,
80,"
Café latte espresso Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
81,"
Café latte con crema macchiato Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
82,,,,,,
83,"
Limón ecológico Carrefour Bio 500 g","
 Malla De 500 G. |
3,78 €/kg","1,89 €",,,
84,"
Calabacín ecológico Carrefour Bio 500 g","
 500 G |
3,18 €/kg","1,59 €",,,
85,"
Plátano ecológico Carrefour Bio 1 Kg aprox","
 Envase De  1000.0 G. Aprox |
2,79 €/kg","2,79 €",,,
86,"
Patata ecológica Carrefour Bio 2 Kg","
 2 Kg |
1,50 €/kg","2,99 €",,,
87,"
Cebolla ecológica Carrefour Bio 1 Kg","
 1 Kg |
1,89 €/kg","1,89 €",,,
88,"
Tomate bola ecológico Carrefour Bio 500 g","
 500 G |
3,30 €/kg","1,65 €",,,
89,"
Ajo ecológico Carrefour Bio 3 uds","
 3 Ud |
1,49 €/ud","1,49 €",,,
90,"
Berenjena Carrefour Bio 2 Piezas","
 500 G |
3,98 €/kg","1,99 €",,,
91,"
Pepino ecológico Carrefour Bio 700 g","
 700 G |
2,64 €/kg","1,85 €",,,
92,"
Cogollos de lechuga ecológicos Carrefour Bio 200 g","
 2 Ud |
0,82 €/ud","1,65 €",,,
93,"
Pimiento rojo ecológico Carrefour Bio 400 g","
 400 G |
7,38 €/kg","2,95 €",,,
94,"
Judía verde plana ecológica Carrefour Bio 250 g","
 250 G |
10,36 €/kg","2,59 €",,,
95,"
Puerro ecológico Carrefour Bio 400 g","
 400 G |
7,38 €/kg","2,95 €",,,
96,"
Romero ecológico Carrefour Bio maceta 1 ud","
 Envase De |
1,39 €/ud","1,39 €",,,
97,"
Calabaza troceada ecológica Carrefour Bio 400 g","
 400 G |
5,62 €/kg","2,25 €",,,
98,"
Champiñon Carrefour Bio 300 g aprox","
 Envase De  300.0 G. Aprox |
9,95 €/kg","2,98 €",,,
99,"
Champiñon laminado Carrefour Bio 300 g aprox","
 Envase De  300.0 G. Aprox |
9,95 €/kg","2,98 €",,,
100,"
Calabaza ecológica a granel Carrefour Bio 1 kg aprox","
 1 Kg Aprox 1000.0 G. Aprox |
1,49 €/kg",,"
1,69 €","
1,49 €",
101,"
Naranja ecológica Carrefour Bio 1 Kg","
 Malla De 1 Kg |
2,29 €/kg","2,29 €",,,
102,"
Picada de vacuno ecológico Carrefour Bio 400 g","
 400 G |
9,62 €/kg","3,85 €",,,
103,"
Mejillón fresco ecológico Carrefour Bio 1 kg","
 Malla De |
1,89 €/kg","1,89 €",,,
104,"
Brócoli en floretes ecológico Carrefour Bio 600 g.","
 600 G. |
3,48 €/kg","2,09 €",,,
105,"
Hamburguesa de vacuno ecológica sin gluten y sin lactosa Carrefour Bio 2x120 g","
 240 G |
9,96 €/kg","2,39 €",,,
106,"
Albahaca ecológico Carrefour Bio maceta 1 ud","
 1 Ud. |
1,39 €/ud","1,39 €",,,
107,,,,,,
108,"
Cereales sin azúcares añadidos ecológicos Corn Flakes Carrefour Bio 500 g.","
 500 G. |
4,58 €/kg","2,29 €",,,
109,"
Galletas con tableta de chocolate con leche ecológicas Carrefour Bio 150 g.","
 150 G. |
13,33 €/kg","2,00 €",,,
110,"
Café molido natural Colombia ecológico Carrefour Bio 250 g.","
 250 G. |
11,40 €/kg","2,85 €",,,
111,"
Chocolate negro 74% ecológico Carrefour Bio 100 g.","
 100 G. |
14,20 €/kg","1,42 €",,,
112,"
Café molido natural 100% Arábica ecológico Carrefour Bio 250 g.","
 250 G. |
7,96 €/kg","1,99 €",,,
113,"
Miel de flores ecológica Carrefour Bio 500 g.","
 500 G. |
7,80 €/kg","3,90 €",,,
114,"
Sirope de agave ecológico Carrefour Bio 250 ml.","
 250 Ml. |
9,80 €/l","2,45 €",,,
115,"
Galletas de mantequilla ecológicas Carrefour Bio 167 g.","
 167 G. |
9,76 €/kg","1,63 €",,,
116,"
Mermelada de fresa ecológica Carrefour Bio 350 g.","
 350 G. |
5,60 €/kg",,"
1,99 €","
1,96 €",
117,"
Té verde en bolsitas ecológico Carrefour Bio 20 ud.","
 20 Ud. |
59,29 €/kg","1,66 €",,,
118,"
Chocolate negro con naranja ecológico Carrefour Bio 100 g.","
 100 G. |
14,20 €/kg","1,42 €",,,
119,"
Galletas rellenas de chocolate ecológicas Carrefour Bio 185 g.","
 185 G. |
11,08 €/kg","2,05 €",,,
120,"
Cereales de quinoa con chocolate ecológicos Muesli Carrefour Bio 500 g.","
 500 G. |
8,20 €/kg","4,10 €",,,
121,"
Manzanilla en bolsitas ecológica Carrefour Bio 20 ud.","
 28 G. |
66,79 €/kg","1,87 €",,,
122,"
Cereales de frutas y frutos secos ecológicos Muesli Carrefour Bio 500 g.","
 500 G. |
6,58 €/kg","3,29 €",,,
123,"
Chocolate con leche ecológico Carrefour Bio 100 g.","
 100 G. |
14,20 €/kg","1,42 €",,,
124,"
Chocolate negro con almendras caramelizadas ecológico Carrefour Bio 100 g.","
 100 G. |
14,20 €/kg","1,42 €",,,
125,"
Galletas con arroz integral rellenas de cacao y avellana ecológicas Carrefour Bio 120 g.","
 120 G. |
17,92 €/kg","2,15 €",,,
126,"
Barritas de cereales con chocolate ecológicas Carrefour Bio 125 g.","
 125 G. |
14,72 €/kg","1,84 €",,,
127,"
Mermelada de melocotón ecológica Carrefour Bio 350 g.","
 350 G. |
5,09 €/kg",,"
1,90 €","
1,78 €",
128,"
Mermelada de albaricoque ecológica Carrefour Bio 350 g.","
 350 G. |
5,43 €/kg","1,90 €",,,
129,"
Palitos de chocolate con leche Carrefour Bio 125 g.","
 125 G. |
12,16 €/kg","1,52 €",,,
130,"
Galletas con avena y chocolate ecológicas Bio Darma 125 g.","
 125 G. |
17,20 €/kg","2,15 €",,,
131,"
Preparado para bebida de cacao ecológico Carrefour Bio 500 g.","
 500 G. |
7,90 €/kg","3,95 €",,,
132,,,,,,
133,"
Preparado de fabada El Chico 250 g.","
 250 G. |
12,00 €/kg","3,00 €",,,
134,"
Compango asturiano De Nuetra Tierra 400 g.","
 400 G. |
18,25 €/kg","7,30 €",,,2ª al -50%
135,"
Preparado para legumbres ecológico Biobardales 300 g.","
 300 G. |
13,83 €/kg","4,15 €",,,
136,"
Preparado para cocido El Chico 380 g.","
 380 G. |
13,29 €/kg","5,05 €",,,
137,"
Preparado para fabada asturiana El Chico 500 g.","
 500 G. |
21,50 €/kg","10,75 €",,,
138,,,,,,
139,"
Ensaladilla congelada Findus 1 kg.","
 1 Kg. |
3,40 €/kg","3,40 €",,,3x2
140,"
Guisantes Carrefour 1 kg.","
 1 Kg. |
1,13 €/kg","1,13 €",,,
141,"
Filete de Merluza del Cabo Carrefour 600 g.","
 600 G. |
6,62 €/kg","3,97 €",,,
142,"
Filetes de merluza sin piel Pescanova 400 g.","
 400 G. |
10,97 €/kg","4,39 €",,,
143,"
Corazones de filete de merluza ultracongelados Pescanova 500 g.","
 500 G. |
11,70 €/kg","5,85 €",,,3x2
144,"
Judías verdes planas Carrefour 1 kg.","
 1 Kg. |
1,03 €/kg","1,03 €",,,
145,"
Gamba pelada pequeña congelada Pescatrade 400 g","
 400 G. |
12,38 €/kg","4,95 €",,,
146,"
Guisantes finos Findus 1 kg.","
 1 Kg. |
3,40 €/kg","3,40 €",,,3x2
147,"
Pimiento en tiras Carrefour 450 g.","
 450 G. |
2,22 €/kg","1,00 €",,,
148,"
Filetes de bacalao ultracongelado Pescanova 400 g.","
 400 G. |
14,75 €/kg",,"
6,99 €","
5,90 €",3x2
149,"
Coliflor congelada Carrefour 1 kg.","
 1 Kg. |
1,29 €/kg","1,29 €",,,
150,"
Espinacas cortadas en porciones Carrefour 400 g.","
 400 G. |
1,68 €/kg","0,67 €",,,
151,"
Cebolla Cubos Carrefour 400 g.","
 400 G. |
1,58 €/kg","0,63 €",,,
152,"
Ensaladilla Carrefour 1 kg.","
 1 Kg. |
0,70 €/kg","0,70 €",,,
153,"
Gamba pelada grande Pescatrade 400 g","
 400 G. |
17,38 €/kg","6,95 €",,,
154,"
Menestra de verduras Carrefour 1 kg.","
 1 Kg. |
1,09 €/kg","1,09 €",,,
155,"
Patatas fritas clásicas Carrefour 1 kg.","
 1 Kg. |
1,03 €/kg","1,03 €",,,
156,"
Filete de bacalao al punto sal ultracongelado Carrefour 400 g.","
 400 G. |
11,50 €/kg","4,60 €",,,
157,"
Preparado de paella de marisco congelado 600 g","
 600 G |
6,65 €/kg","3,99 €",,,
158,"
Medallones de merluza argentina congelados Carrefour 480 g.","
 480 G. |
4,15 €/kg","1,99 €",,,
159,"
Lomos salmón congelados Carrefour 480 g.","
 480 G. |
12,40 €/kg","5,95 €",,,
160,"
Judía troceada Carrefour 1 kg.","
 1 Kg. |
1,03 €/kg","1,03 €",,,
161,"
Patatas congeladas extra finas Carrefour 1 kg.","
 1 Kg. |
1,03 €/kg","1,03 €",,,
162,"
Patatas fritas clásicas congeladas Carrefour 2,5 kg.","
 2,5 Kg. |
0,92 €/kg","2,31 €",,,
163,,,,,,
