,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
1846,"
Jamón de pato en lonchas Carrefour Selección sin gluten 100 g.","
 100 G. |
51,00 €/kg","5,10 €",,,
1847,"
Chorizo de pueblo picante Revilla 250 g.","
 250 G. |
14,80 €/kg","3,70 €",,,
1848,"
Lomo curado embuchado loncheado Juan Luna tripack (3x80g) envase 240 g","
 240 G. |
20,79 €/kg","4,99 €",,,
1849,"
Chorizo en taquitos pack de 2 ud de 50 g","
 100 G |
19,00 €/kg","1,90 €",,,
1850,"
Chorizo ibérico de bellota 50 g","
 Envase De |
28,75 €/kg","1,15 €",,,
1851,"
Chorizo de bellota ibérico en lonchas De Nuestra Tierra 100 g","
 100 G |
29,00 €/kg","2,90 €",,,
1852,"
Chorizo ibérico de cebo Carrefour Calidad y Origen 1/3 pieza 500 g aprox","
 Envase De  500.0 G. Aprox |
16,50 €/kg","8,25 €",,,
1853,"
Caprichos de fuet original curado Casademont sin gluten 50 g","
 50 G |
30,00 €/kg","1,50 €",,,
1854,"
Lomo en lonchas Carrefour Classic' sin gluten sin lactosa 80 g.","
 80 G. |
24,12 €/kg","1,93 €",,,
1855,"
Chorizo extra ecológico loncheado Abrilisto sobre 50 g","
 Envase De |
30,00 €/kg","1,50 €",,,
1856,"
Chistorra picante Floristán sin gluten y sin lactosa 200 g,","
 200 G, |
8,95 €/kg","1,79 €",,,
1857,,,,,,
1858,"
Fiambre cocido pieza sabor ahumado Carrefour sin gluten 2 Kg.","
 2 Kg. |
2,30 €/kg","4,60 €",,,
1859,"
Jamón cocido loncha fina sin sal 200 g","
 200 G |
9,00 €/kg","1,80 €",,,
1860,"
Jamón sandwich en lonchas Carrefour sin gluten 300 g.","
 300 G. |
4,70 €/kg","1,41 €",,,
1861,"
Jamoninos Junior Campofrío 125 g.","
 125 G. |
16,80 €/kg","2,10 €",,,
1862,"
Lacón curado El Chico sin gluten y sin lactosa 300 g.","
 300 G. |
12,33 €/kg","3,70 €",,,
1863,"
Jamón cocido extra Artesano El Pozo 120 g.","
 120 G. |
14,58 €/kg",,"
1,93 €","
1,75 €",3x2
1864,"
Jamón cocido extra artesano loncheado ElPozo 190 g","
 190 G |
12,11 €/kg","2,30 €",,,3x2
1865,"
Jamón cocido extra lonchas finas El Pozo sin lactosa pack de 2 unidades de 150 g.","
 Pack 2x150 G. |
10,00 €/kg","3,00 €",,,
1866,"
Jamón cocido lonchas finas El Pozo sin gluten 90 g.","
 90 G. |
11,76 €/kg","1,00 €",,,
1867,"
Jamón cocido extra en lonchas finas braseado El Pozo sin gluten 85 g.","
 85 G. |
11,76 €/kg","1,00 €",,,
1868,"
Jamón cocido extra en lonchas finas y enteras Argal Bonnatur sin gluten y sin lactosa 110 g.","
 110 G. |
16,91 €/kg","1,86 €",,,
1869,"
Paleta de jamón cocido asada al horno extra en lonchas sin gluten y sin lactosa 150 g","
 150 G |
13,27 €/kg","1,99 €",,,
1870,"
Fiambre cocido pieza Carrefour 1 Kg.","
 1 Kg. |
3,45 €/kg","3,45 €",,,
1871,"
Jamón cocido extra lonchas finas Carrefour pack de 2 unidades de 200 g.","
 Pack 2x200 G. |
7,75 €/kg","3,10 €",,,
1872,"
Jamón cocido en lonchas sin azúcares Bonnatur sin gluten sin lactosa 200 g.","
 200 G. |
14,50 €/kg","2,90 €",,,
1873,"
Jamón cocido extra sin fosfatos Bonnatur 235 g","
 235 G |
12,55 €/kg","2,95 €",,,
1874,"
Lacón para ensaladas en taquitos El charcutero sin gluten sin lactosa pack de 2 unidades de 55 g.","
 Pack 2x55 G. |
14,45 €/kg","1,59 €",,,
1875,"
Jamón cocido finas lonchas Monells 230 g.","
 230 G. |
8,00 €/kg","2,00 €",,,
1876,"
Lacón coido cortado a mano El charcutero sin gluten sin lactosa 150 g.","
 150 G. |
16,67 €/kg","2,50 €",,,
1877,"
Paleta cocida loncheada ElPozo 300 g","
 300 G |
7,17 €/kg","2,15 €",,,3x2
1878,"
Jamón extra en lonchas westfalia El pozo Legado sin gluten sin lactosa 140 g.","
 140 G. |
14,29 €/kg","2,00 €",,,
1879,"
Jamón cocido extrajugoso Campofrío Cuida-t + sin gluten y sin lactosa 75 g.","
 75 G. |
14,27 €/kg","1,07 €",,,
1880,"
Chicharrón frito en lonchas El Charcutero sin gluten 150 g.","
 150 G. |
16,67 €/kg","2,50 €",,,
1881,"
Jamón cocido extra lonchas finas bajo contenido en grasas Carrefour 200 g.","
 200 G. |
9,65 €/kg","1,93 €",,,
1882,,,,,,
1883,"
Café intenso ecológico en cápsulas Origen&Planet compatible con Nespresso 10 unidades de 5 g.","
 10 Ud. |
52,00 €/kg","2,60 €",,,
1884,"
Azúcar blanco de caña ecológico Azucarera 750 g.","
 750 G. |
3,73 €/kg","2,80 €",,,
1885,"
Café molido natural descafeinado ecológico Oquendo 250 g.","
 250 G. |
15,60 €/kg","3,90 €",,,
1886,"
Eritritol ecológico Naturgreen 500 g.","
 500 G. |
18,20 €/kg","9,10 €",,,
1887,"
Infusión buen humor en bolsitas ecológica Yogi 12 ud.","
 12 Ud. |
135,71 €/kg","2,85 €",,,3x2
1888,"
Té chai con especias ecológico Oxfam Intermón 20 ud.","
 20 Ud. |
36,54 €/kg","2,85 €",,,
1889,"
Chocolate negro 70% cacao flor de sal ecológico Torras sin gluten 100 g.","
 100 G. |
23,90 €/kg","2,39 €",,,
1890,"
Galletas de avena y fruta ecológicas Digestive Gullón 270 g.","
 270 G. |
9,44 €/kg","2,55 €",,,3x2
1891,"
Cereales integrales con avena y chocolate ecológicos Fitness 300 g,","
 300 G. |
13,83 €/kg","4,15 €",,,
1892,"
Cereales con cacao ecológicos Ecocesta 375 g.","
 375 G. |
11,07 €/kg","4,15 €",,,
1893,"
Cereales con frutos rojos ecológicos Crunchy Santiveri 325 g.","
 325 G. |
12,00 €/kg","3,90 €",,,
1894,"
Cereales con chocolate negro Muesli ecológicos Bauck Hof sin gluten 300 g.","
 300 G. |
10,92 €/kg","4,15 €",,,
1895,"
Galletas Muesli ecológicas Digestive Santiveri sin lactosa 330 g.","
 330 G. |
10,91 €/kg","3,60 €",,,
1896,"
Infusión matcha energía en bolsitas ecológica Yogi 12 ud.","
 12 Ud. |
130,95 €/kg",,"
3,00 €","
2,75 €",3x2
1897,"
Pepitas de chocolate negro ecológicas Vahiné 100 g.","
 100 G. |
41,00 €/kg","4,10 €",,,3x2
1898,"
Café molido natural arábica ecológico Mujer Oxfam Intermón 250 g.","
 250 G. |
14,76 €/kg","3,69 €",,,
1899,"
Infusión de manzanilla, melisa y lavanda en bolsitas snore&piece ecológica Cupper 20 ud,","
 20 Ud. |
105,00 €/kg","3,15 €",,,
1900,"
Infusión de limón y jengibre en bolsitas ecológica Ginger Cupper 20 ud.","
 20 Ud. |
54,00 €/kg","2,70 €",,,
1901,"
Chocolate negro con maca y jengibre ecológico Torras sin gluten 100 g.","
 100 G. |
20,00 €/kg","2,00 €",,,
1902,"
Te negro en bolsitas ecológico Cupper 20 ud.","
 20 Ud. |
67,50 €/kg","2,70 €",,,
1903,"
Azúcar de caña ecológico Intermón Oxfam sin gluten sin lactosa 500 g.","
 500 G. |
5,00 €/kg","2,50 €",,,
1904,"
Té verde con jengibre y lima en bolsitas ecológico Ethiquable 20 ud.","
 20 Ud. |
72,22 €/kg","2,60 €",,,
1905,"
Carne de membrillo ecológico","
 400 G. |
8,48 €/kg","3,39 €",,,
1906,"
Crema de cacao con avellanas ecológica Naturgreen  sin gluten y sin lactosa 200 g.","
 200 G. |
25,75 €/kg","5,15 €",,,
1907,,,,,,
1908,"
Paté de jabalí Carrefour 180 g.","
 180 G. |
7,67 €/kg","1,38 €",,,
1909,"
Olivada Casa Tarradellas sin gluten 125 g.","
 125 G. |
9,36 €/kg","1,17 €",,,
1910,"
Paté de morcilla Carrefour sin gluten y sin lactosa 120 g.","
 120 G. |
10,83 €/kg","1,30 €",,,
1911,"
Paté de hígado de cerdo picante Tapa Negra La Piara pack de 2 unidades de 73 g.","
 Pack De 2x73 G. |
18,49 €/kg","2,70 €",,,3x2
1912,"
Paté de hígado de cerdo ibérico Tapa Negra La Piara pack de 2 unidades de 73 g.","
 Pack De 2x73 G. |
18,49 €/kg","2,70 €",,,3x2
1913,"
Paté de jamón Casa Tarradellas 125 g.","
 125 G. |
8,00 €/kg","1,00 €",,,
1914,"
Paté del campo Carrefour 180 g.","
 180 G. |
7,67 €/kg","1,38 €",,,
1915,"
Paté tradición pimienta negra sin gluten 110 g","
 110 G |
11,82 €/kg","1,30 €",,,
1916,"
Paté tradición pato oporto 110 g","
 110 G |
11,82 €/kg","1,30 €",,,
1917,"
Foie gras de pato Mi-cuit bloc Carrefour Selección pack de 2 x 40g","
 80 G |
86,88 €/kg","6,95 €",,,
1918,"
Mousse de pato Carrefour sin gluten 90 g.","
 90 G. |
15,44 €/kg","1,39 €",,,
1919,"
Sobrasada de mallorca en tripa El Zagal pieza 400 g aprox","
 400 G |
12,38 €/kg","4,95 €",,,
1920,"
Paté de cerdo a la pimienta Carrefour sin gluten 90 g.","
 90 G. |
11,78 €/kg","1,06 €",,,
1921,"
Paté tradición de pimienta verde 110 g","
 110 G |
11,82 €/kg","1,30 €",,,
1922,"
Paté de salmón ahumado Sólo Natural La Piara 168 g.","
 168 G. |
17,56 €/kg","2,95 €",,,3x2
1923,"
Bloc de foie gras de pato Larnaudie 200 g.","
 200 G. |
40,15 €/kg","8,03 €",,,
1924,"
Paté de campaña Casa Tarradellas 125 g.","
 125 G. |
8,00 €/kg","1,00 €",,,
1925,"
Paté de pavo La Piara 125 g.","
 125 G. |
19,33 €/kg","2,90 €",,,3x2
1926,"
Foie gras de pato Mi-cuit Capdevila pack de 2 unidades de 40 g","
 80 G |
62,38 €/kg","4,99 €",,,
1927,"
Paté de campaña ecológico Eth Paté de Mía sin gluten y sin lactosa 100 g.","
 100 G. |
31,50 €/kg","3,15 €",,,
1928,"
Paté de cerdo finas hierbas Carrefour sin gluten 90 g.","
 90 G. |
11,78 €/kg","1,06 €",,,
1929,"
Sobrasada de Mallorca en lonchas El Zagal 65 g.","
 65 G. |
16,46 €/kg","1,07 €",,,
1930,"
5 patés + Ensaladera Casa Tarradellas pack de 5 unidades de 125 g.","
 Pack 5x125 G. |
9,92 €/kg","6,20 €",,,
1931,"
Paté de anchoa Sólo Natural La Piara 168 g.","
 168 G. |
17,56 €/kg","2,95 €",,,3x2
1932,,,,,,
1933,"
Jamón cocido y ahumado a la leña extra en lonchas sin gluten y sin lactosa 180 g","
 180 G |
12,50 €/kg","2,25 €",,,3x2
1934,"
Pechuga de pavo braseada al corte 160 g","
 Envase De |
15,00 €/kg","2,40 €",,,2x1 Acumulación
1935,"
Jamón cocido extra loncheado Ricura El Pozo 300 g","
 300 G |
6,33 €/kg","1,90 €",,,3x2
1936,"
Pechuga de pollo Campofrío Finissimas 170 g.","
 170 G. |
15,29 €/kg",,"
2,70 €","
2,60 €",3x2
1937,"
Mortadela ibérica en lonchas El Pozo 150 g.","
 150 G. |
11,20 €/kg","1,68 €",,,3x2
1938,"
Jamón de pavo bajo en grasa sin azúcares El Pozo Bienstar sin gluten sin lactosa 380 g.","
 380 G. |
8,03 €/kg","3,05 €",,,2x1 Acumulación
1939,"
Chorizo de león picante De Nuestra Tierra 450 g.","
 450 G. |
6,64 €/kg",,"
4,50 €","
2,99 €",
1940,"
Salchichas Jumbo de pavo Oscar Mayer 350 g.","
 350 G. |
6,00 €/kg","2,10 €",,,3x2
1941,"
Fuet casero con pavo ElPozo 150 g.","
 150 G. |
12,60 €/kg","1,89 €",,,3x2
1942,"
Pechuga Braseada de pavo Mini Campofrío Pavofrío 380 g.","
 380 G. |
10,26 €/kg","3,90 €",,,3x2
1943,"
Jamón cocido al horno como recien cortado Campofrío envase 160 g","
 160 G |
15,00 €/kg","2,40 €",,,2x1 Acumulación
1944,"
Chorizo de léon De Nuestra Tierra 450 g.","
 450 G. |
6,64 €/kg",,"
4,50 €","
2,99 €",
1945,"
Pechuga de pollo asada loncheada Los Artesanos ElPozo envase 170 g","
 170 G |
13,53 €/kg","2,30 €",,,3x2
1946,"
Jamón de pavo cocido trufado c/boletus Los Artesanos ElPozo 170 g ","
 170 G |
13,53 €/kg","2,30 €",,,3x2
1947,"
Salchichas cocidas de pollo 'Todo Ave' Oscar Mayer 200 g.","
 200 G. |
5,25 €/kg","1,05 €",,,3x2
1948,"
Jamón cocido braseado Campofrío Finissimas sin gluten 115 g.","
 115 G.  |
16,17 €/kg","1,86 €",,,3x2
1949,"
Chorizo pamplona Tello bipack loncheado (2x112,5g) 225 g","
 225 G |
6,67 €/kg","1,50 €",,,3x2
1950,"
Taquitos de chorizo Revilla sin gluten 150 g.","
 150 G. |
11,27 €/kg","1,69 €",,,3x2
1951,"
Paté -50% grasa La Piara pack de 2 unidades de 73 g.","
 Pack De 2x73 G. |
18,49 €/kg","2,70 €",,,3x2
1952,"
Pechuga de pollo en lonchas El Pozo sin gluten 200 g.","
 200 G. |
11,00 €/kg","2,20 €",,,3x2
1953,"
Cabeza de jabalí en lonchas sin gluten y sin lactosa 120 g","
 120 G |
14,17 €/kg","1,70 €",,,3x2
1954,"
Compango asturiano De Nuetra Tierra 400 g.","
 400 G. |
18,25 €/kg","7,30 €",,,2ª al -50%
1955,"
Fuet Nobleza El Pozo 200 g.","
 200 G. |
8,80 €/kg",,"
1,85 €","
1,76 €",3x2
1956,"
Jamón pavo Mini Campofrío Pavofrío 380 g.","
 380 G. |
8,16 €/kg","3,10 €",,,3x2
1957,,,,,,
1958,"
Salchichas mini viena Carrefour sin gluten 320 g.","
 320 G. |
6,45 €/kg","2,09 €",,,
1959,"
Salchichas pechuga de pavo King El Pozo sin gluten 330 g.","
 330 G. |
5,39 €/kg","1,78 €",,,
1960,"
Salchichas de pavo maxi pack Oscar Mayer sin gluten 880 g.","
 880 G. |
5,34 €/kg","4,70 €",,,3x2
1961,"
Salchichas bocata viena Argal 230 g.","
 230 G. |
6,35 €/kg","1,46 €",,,
1962,"
Salchichas de cerdo, pavo y pollo con sabor ahumado bocata barbacoa Argal sin gluten 230g.","
 230 G. |
6,83 €/kg","1,57 €",,,
1963,"
Salchichas para asar grilbratwurst Casa Westfalia sin gluten y sin lactosa 270 g.","
 270 G. |
15,56 €/kg","4,20 €",,,
1964,"
Salchichas bockwurst con queso Picken sin gluten 340g.","
 340 G. |
8,82 €/kg","3,00 €",,,
1965,"
Salchichas jumbo con queso Carrefour 250 g.","
 250 G. |
6,80 €/kg","1,70 €",,,
1966,,,,,,
1967,"
Jamón cocido extra sin fosfatos Bonnatur Argal al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
9,95 €/kg",,"
1,79 €","
1,49 €",
1968,"
Pechuga de pavo natural asada Frial al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
15,30 €/kg","2,29 €",,,
1969,"
Jamón cocido extra Campofrío al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
9,95 €/kg",,"
1,64 €","
1,49 €",
1970,"
Pechuga de pavo Campofrío al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
9,55 €/kg","1,43 €",,,
1971,"
Jamón cocido extra El Pozo Edición 1954 al corte sin fosfatos, sin gluten  y sin lactosa 150 g aprox","
 Envase De 150.0 G. Aprox |
11,95 €/kg","1,79 €",,,
1972,"
Pechuga de Pavo Bonnatur Argal al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
9,95 €/kg",,"
1,94 €","
1,49 €",
1973,"
Pechuga de pavo braseada artesana Campofrío al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
15,85 €/kg","2,38 €",,,
1974,"
Pechuga de pavo braseada El Pozo Edición 1954 al corte sin gluten y sin lactosa 150 g aprox","
 Envase De 150.0 G. Aprox |
11,95 €/kg","1,79 €",,,
1975,"
Jamón cocido extra braseado El Pozo Edición 1954 al corte sin gluten 150 g aprox","
 Envase De 150.0 G. Aprox |
11,95 €/kg","1,79 €",,,
1976,"
Jamón cocido premier braseado Argal al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
8,95 €/kg","1,34 €",,,
1977,"
Mortadela ibérica Legado ElPozo al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
7,10 €/kg","1,06 €",,,
1978,"
Pechuga de pavo ElPozo al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
10,20 €/kg","1,53 €",,,
1979,"
Pechuga de pavo sin sal 0% grasa ElPozo al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
11,95 €/kg","1,79 €",,,
1980,"
Chopped de lata cuadrada La Selva al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
9,00 €/kg","1,35 €",,,
1981,"
Jamón cocido extra sin sal  0% grasa El Pozo al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
11,95 €/kg","1,79 €",,,
1982,"
Mortadela big bologna Oscar Mayer al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
10,40 €/kg","1,56 €",,,
1983,"
Jamon cocido extra La Selva al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
16,85 €/kg","2,53 €",,,
1984,"
Chopped Pork ElPozo al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
5,50 €/kg","0,82 €",,,
1985,"
Mortadela de pavo con aceitunas ElPozo al corte 250 g aprox","
 Envase De  250.0 G. Aprox |
6,55 €/kg","1,64 €",,,
1986,"
Jamón de pavo al corte 150 g aprox","
 Sobre De 150.0 G. Aprox |
11,95 €/kg","1,79 €",,,
1987,"
Pechuga de pavo Asada El Pozo Legado al corte sin lactosa 150 g aprox","
 Envase De 150.0 G. Aprox |
14,95 €/kg","2,24 €",,,
1988,"
Pechuga de pollo asada El Pozo Legado al corte sin lactosa 150 g aprox","
 Envase De 150.0 G. Aprox |
13,25 €/kg","1,99 €",,,
1989,"
Pechuga de pollo natural Frial al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
12,65 €/kg","1,90 €",,,
1990,"
Jamón cocido BNT Duroc Argal al corte 300 g aprox","
 Envase De  300.0 G. Aprox |
10,95 €/kg",,"
4,35 €","
3,28 €",
1991,,,,,,
1992,"
Jamón cocido extra sin fosfatos Bonnatur Argal al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
9,95 €/kg",,"
1,79 €","
1,49 €",
1993,"
Jamón cocido extra Campofrío al corte 150 g aprox","
 Envase De  150.0 G. Aprox |
9,95 €/kg",,"
1,64 €","
1,49 €",
1994,"
Pechuga de Pavo Bonnatur Argal al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
9,95 €/kg",,"
1,94 €","
1,49 €",
1995,"
Jamón cocido BNT Duroc Argal al corte 300 g aprox","
 Envase De  300.0 G. Aprox |
10,95 €/kg",,"
4,35 €","
3,28 €",
1996,,,,,,
1997,"
Jamón curado bodega Boadas 1880 sin gluten 200 g,","
 200 G. |
20,15 €/kg",,"
4,30 €","
4,03 €",3x2
1998,"
Jamón serrano en lonchas Boadas 270 g.","
 270 G. |
23,10 €/kg","4,85 €",,,3x2
1999,"
Snack con Jamón Usnack Serrano 60 g.","
 60 G. |
17,67 €/kg","1,06 €",,,
2000,"
Jamón taquitos boadas pack de 2 unidades de 50 g.","
 Pack De 2x50 G. |
26,70 €/kg",,"
2,85 €","
2,67 €",3x2
2001,"
Jamón curado en lonchas Argal 380 g. ","
 380 G. |
20,13 €/kg","7,65 €",,,
2002,"
Maletín de jamón curado selecto premium corte tapas sin gluten y sin lactosa 14 raciones de 80 g","
 1 Ud |
49,00 €/ud","49,00 €",,,
2003,"
Jamón curado en lonchas Navidul sin gluten y sin lactosa 180 g","
 180 G |
27,72 €/kg","4,99 €",,,
2004,"
Paleta ibérica de cebo en lonchas Carrefour Calidad y Origen 100 g","
 100 G |
59,00 €/kg","5,90 €",,,
2005,"
Maletín de paleta loncheada sin gluten y sin lactosa 16 sobres de 70 g","
 1 Ud |
39,00 €/ud","39,00 €",,,
2006,"
Jamón serrano reserva en lonchas Carrefour Classic' sin lactosa 80 g.","
 80 G. |
26,25 €/kg","2,10 €",,,
2007,"
Jamón curado media lonchas El Pozo sin gluten sin lactosa pack de 4 unidades de 45 g.","
 Pack 4x45 G. |
22,22 €/kg","4,00 €",,,
2008,"
Jamón serrano reserva 50% raza duroc Calidad y Origén Carrefour pack de 10 sobres de 100 g","
 1 Kg |
19,80 €/kg","19,80 €",,,
2009,"
Paleta de cebo de campo ibérica loncheada 50% raza ibérica Cuyar 85 g","
 Envase De |
92,94 €/kg","7,90 €",,,
2010,"
Jamón reserva de hembra medias lonchas Argal sin gluten 90 g.","
 90 G. |
23,33 €/kg","2,10 €",,,
2011,"
Paleta de cebo ibérica 50% raza ibérica sin gluten 85 g","
 85 Gr |
84,71 €/kg","7,20 €",,,
2012,"
Lote de Navidad nº 50 ","
 |
49,00 €/ud","49,00 €",,,
2013,"
Lote de Navidad nº 51 ","
 |
99,00 €/ud","99,00 €",,,
2014,"
Lote de Navidad nº 53","
 |
99,00 €/ud","99,00 €",,,
2015,,,,,,
2016,"
Queso mozzarella  rallada Carrefour 200 g.","
 200 G. |
6,00 €/kg","1,20 €",,,
2017,"
Queso gouda holland en lonchas Carrefour 200 g.","
 Envase De |
5,65 €/kg","1,13 €",,,
2018,"
Queso rallado emmental Carrefour 200 g.","
 200 G. |
5,55 €/kg","1,11 €",,,
2019,"
Queso rallado cuatro quesos Carrefour 200 g.","
 200 G. |
8,80 €/kg","1,76 €",,,
2020,"
Queso mozzarella Italiana Carrefour 125 g.","
 125 G. |
6,24 €/kg","0,78 €",,,
2021,"
Queso rallado parmesano Carrefour 100 g.","
 100 G. |
18,70 €/kg","1,87 €",,,
2022,"
Queso mozzarella Italiana Galbani 125 g.","
 125 G |
12,00 €/kg","1,50 €",,,
2023,"
Queso en lonchas Carrefour 400 g.","
 400 G. |
3,43 €/kg","1,37 €",,,
2024,"
Queso tierno en lonchas Carrefour 200 g.","
 200 G. |
6,15 €/kg",,"
1,51 €","
1,23 €",
2025,"
Queso havarti en lonchas Carrefour 200 g.","
 200 G. |
8,35 €/kg","1,67 €",,,
2026,"
Queso edam holland en lonchas Carrefour 200 g.","
 200 G |
5,65 €/kg","1,13 €",,,
2027,"
Crema de queso de untar natural Philadelphia pack de 2 unidades de 250 g.","
 Pack 2x250 G. |
7,40 €/kg",,"
4,10 €","
3,70 €",2ª al -70%
2028,"
Queso blanco pasteurizado natural Carrefour pack de 4 unidades de 62,5 g.","
 Pack De 4x62,5 G. |
3,96 €/kg","0,99 €",,,
2029,"
Queso de untar Carrefour 300 g.","
 300 G. |
3,33 €/kg","1,00 €",,,
2030,"
Queso brie 60% M.G Carrefour 200 g","
 Pieza De |
9,50 €/kg","1,90 €",,,
2031,"
Queso de untar original Philadelphia 350 g","
 350 G. |
7,71 €/kg","2,70 €",,,
2032,"
Queso Roquefort  D.O.P Carrefour cuña 100 g","
 100 G |
14,50 €/kg","1,45 €",,,
2033,"
Queso rulo de cabra Carrefour 180 g","
 Pieza De |
11,11 €/kg","2,00 €",,,
2034,"
Queso semicurado mezcla Granja de la Luz cuña 1/8, 375 g aprox","
 Cuña De 375.0 G. Aprox |
8,20 €/kg","3,07 €",,,
2035,"
Queso rallado en polvo especial pasta El Caserío 100 g.","
 100 G. |
12,30 €/kg","1,23 €",,,
2036,"
queso havarti light en lonchas Carrefour 200 g.","
 200 G. |
8,35 €/kg","1,67 €",,,
2037,"
Queso emmental taco Carrefour 250 g","
 250 G |
9,00 €/kg","2,25 €",,,
2038,"
Queso fresco original Burgo de Arias pack de 6 unidades de 72 g.","
 6x72 G. |
8,56 €/kg",,"
3,90 €","
3,70 €",3x2
2039,"
Queso semicurado mezcla García Baquero cuña 1/8, 420 g aprox","
 Cuña De  420.0 G. Aprox |
12,00 €/kg","5,04 €",,,
2040,,,,,,
2041,"
Seitan en rodajas ecológico Ecocesta 300 g.","
 300 G. |
16,50 €/kg","4,95 €",,,
2042,"
Tortilla de verduras con kale sin huevo ecológico Soria Natural sin gulten sin lactosa 250 g.","
 250 G. |
12,20 €/kg","3,05 €",,,
2043,"
Caldo natural de alcachofa ecológico Aneto sin gluten y sin lactosa 1 L.","
 1 L. |
4,90 €/l","4,90 €",,,
2044,"
Soja germinada ecologica ecológico Paño 330 g.","
 330 G. |
8,03 €/kg","2,65 €",,,
2045,"
Atún claro en aceite de oliva virgen extra ecológico Cuca 80 g.","
 81 G. |
32,50 €/kg","2,60 €",,,
2046,"
Alubias blancas con verduras ecológicas Pedro Luis sin gluten 245 g.","
 345 G. |
7,97 €/kg","2,75 €",,,
2047,"
Rollito de Tofu con sesamo ecológico Soria Natural 200 g.","
 200 G. |
16,00 €/kg","3,20 €",,,
2048,"
Empanada de brócoli ecológica Soria Natural sin gluten 200 g.","
 200 G. |
17,50 €/kg","3,50 €",,,
2049,"
Morcilla vegetal ecológica Ahimsa 230 g.","
 230 G. |
18,04 €/kg","4,15 €",,,
2050,"
Crema de menestra ecológica Pedro Luis sin guten 500 ml.","
 500 Ml. |
9,07 €/kg","4,40 €",,,
2051,"
Sopa de quinoa con verduras ecológica Carretilla sin gluten 350 g.","
 350 G. |
6,00 €/kg","2,10 €",,,
2052,"
Albóndigas de quinoa ecológicas Soria Natural sin gluten y sin lactosa 370 g.","
 370 G. |
11,22 €/kg","4,15 €",,,
2053,"
Albóndigas de seitan con chía ecológicas Ecocesta 240 g.","
 240 G. |
21,04 €/kg","5,05 €",,,
2054,"
Guiso de lentejas y quinoa ecológica Carlota Orgánic sin gluten 425 g.","
 425 G. |
9,29 €/kg","3,95 €",,,
2055,"
Crema de zanahora y naranja con toque de jengibre ecológica Hero 345 g.","
 345 G. |
7,54 €/kg","2,60 €",,,
2056,"
Crema de brócolli, maíz y espinacas ecológica Hero 345 g.","
 345 G. |
7,54 €/kg","2,60 €",,,
2057,"
Salteado de verduras con quinoa Carretilla sin gluten 250 g.","
 250 G. |
8,20 €/kg","2,05 €",,,
2058,"
Burguer de tomate y garbanzos secosecológico sin gluten Vegan Germinal 180 g.","
 180 G. |
23,33 €/kg","4,20 €",,,
2059,"
Hamburguesa de manzana y setas Obrador Sorribas 160 g.","
 160 G. |
16,88 €/kg","2,70 €",,,
2060,"
Pisto de calabacín Cachopo 330 g.","
 330 G. |
12,12 €/kg","4,00 €",,,
2061,,,,,,
2062,"
Guacamole Carrefour Bio tarrina 250 g","
 250 G |
12,45 €/kg","2,49 €",,,
2063,"
Tortilla de patata con cebolla ecológica 500 g","
 500 G |
8,50 €/kg","4,25 €",,,
2064,"
Crema de calabacín y albahaca ecológica Carrefour Bio 1Crema de calabacín y albahaca ecológica Carrefour Bio 1 l.","
 1 L.  |
2,20 €/l","2,20 €",,,
2065,"
Tortitas de arroz con chocolate blanco ecológicas Carrefour Bio sin gluten Bio 90 g.","
 90 G. |
16,56 €/kg","1,49 €",,,
2066,"
Tomate frito ecológico Carrefour Bio tarro 300 g.","
 300 G. |
3,30 €/kg","0,99 €",,,
2067,"
Yogur natural con leche pasteurizada ecológica Carrefour Bio pack de 12 unidades de 125 g.","
 Pack 12x125 G. |
2,57 €/kg","3,85 €",,,
2068,"
Macarrón integral ecológico Carrefour Bio 500 g.","
 500 G. |
1,58 €/kg","0,79 €",,,
2069,"
Almendras crudas sin cáscara sin sal añadida ecológicas Carrefour Bio 90 g.","
 90 G. |
18,11 €/kg","1,63 €",,,
2070,"
Tomate frito ecológico Carrefour Bio sin gluten tarro 340 g.","
 340 G. |
4,03 €/kg","1,37 €",,,
2071,"
Tofu natural ecológico Carrefour Bio 400 g.","
 400 G. |
5,12 €/kg","2,05 €",,,
2072,"
Spaguetti integral ecológico Carrefour Bio 500 g.","
 500 G. |
1,86 €/kg","0,93 €",,,
